,heading,url,rent,date posted,beds,sqft
7478182570,LARGE WASHINGTON PARK CONDO LISTED NOW { OFF STREET PARKING },https://chicago.craigslist.org/sox/apa/d/chicago-large-washington-park-condo/7478182570.html,1400,2022-05-01 10:56,2,0
7478181819,Big Logan Square Studio w/Eat in Kitchen|HWF|Cats ok|CTA|No Deposit!,https://chicago.craigslist.org/chc/apa/d/chicago-big-logan-square-studio-eat-in/7478181819.html,995,2022-05-01 10:54,0,0
7478178319,"LINCOLN PARK, DEPAUL,  IMMEDIATE  JUNE, JULY, 2 BA, GRANITE,  W/D",https://chicago.craigslist.org/chc/apa/d/chicago-lincoln-park-depaul-immediate/7478178319.html,3200,2022-05-01 10:45,4,1600
7478172233,Custom Design Townhouse/Condo for rent 2 bdr With Heated Garage,https://chicago.craigslist.org/nwc/apa/d/barrington-custom-design-townhouse/7478172233.html,1695,2022-05-01 10:30,2,1000
7478166914,"Gorgeous 2 bedroom in River West with hw floors, w.d, & ss appliance",https://chicago.craigslist.org/chc/apa/d/chicago-gorgeous-bedroom-in-river-west/7478166914.html,3400,2022-05-01 10:17,2,0
7478166561,"Amazing studio with gym, yoga rm, pool, sundeck, bbq grill",https://chicago.craigslist.org/chc/apa/d/chicago-amazing-studio-with-gym-yoga-rm/7478166561.html,1630,2022-05-01 10:16,0,0
7478166236,"1 bed with pool, sundeck with bbq grills, 24hr doorman, gym",https://chicago.craigslist.org/chc/apa/d/chicago-bed-with-pool-sundeck-with-bbq/7478166236.html,1750,2022-05-01 10:15,1,0
7478165982,Fabulous renovated unit in Old Town with w/d in unit and huge pool,https://chicago.craigslist.org/chc/apa/d/chicago-fabulous-renovated-unit-in-old/7478165982.html,1920,2022-05-01 10:14,1,0
7478165731,"Gorgeous 2bed-doorman, gym, heated pool & sundeck, dry cleaners",https://chicago.craigslist.org/chc/apa/d/chicago-gorgeous-2bed-doorman-gym/7478165731.html,3030,2022-05-01 10:14,2,0
7478165473,Amazing studio in Fulton Market with w/d in unit and ss appliances,https://chicago.craigslist.org/chc/apa/d/chicago-amazing-studio-in-fulton-market/7478165473.html,1650,2022-05-01 10:13,0,0
7478165119,1Bed in West Loop with 100 sq ft patio and w/d in unit,https://chicago.craigslist.org/chc/apa/d/chicago-1bed-in-west-loop-with-100-sq/7478165119.html,2400,2022-05-01 10:12,1,0
7478164740,"Pet friendly unit with 24hr gym, sundeck, granite counters",https://chicago.craigslist.org/chc/apa/d/chicago-pet-friendly-unit-with-24hr-gym/7478164740.html,1690,2022-05-01 10:11,1,0
7478164400,"Spacious 2 Bed-24hr doorman, huge gym, indoor pool & jacuzzi, sundeck",https://chicago.craigslist.org/chc/apa/d/chicago-spacious-bed-24hr-doorman-huge/7478164400.html,2520,2022-05-01 10:10,2,0
7478164082,Studio with fabulous bldg amenities and pets allowed,https://chicago.craigslist.org/chc/apa/d/chicago-studio-with-fabulous-bldg/7478164082.html,1500,2022-05-01 10:10,0,0
7478163209,Amazing 1bed in South Loop-w/d in unit and hw floors,https://chicago.craigslist.org/chc/apa/d/chicago-amazing-1bed-in-south-loop-d-in/7478163209.html,1950,2022-05-01 10:07,1,0
7478162821,"Awesome 2bed with w/d, h/w floors, gym, terrace w grills & fire pit",https://chicago.craigslist.org/chc/apa/d/chicago-awesome-2bed-with-d-w-floors/7478162821.html,2815,2022-05-01 10:07,2,0
7478162552,Fabulous unit in the heart of West Loop with wd and hw floors,https://chicago.craigslist.org/chc/apa/d/chicago-fabulous-unit-in-the-heart-of/7478162552.html,1900,2022-05-01 10:06,1,0
7478162267,Fabulous 2 bed in the heart of West Loop with wd and hw floors,https://chicago.craigslist.org/chc/apa/d/chicago-fabulous-bed-in-the-heart-of/7478162267.html,3300,2022-05-01 10:05,2,0
7478161942,"Beautiful 1bed in west loop with in unit w/d, hw floors, ss appliances",https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-1bed-in-west-loop/7478161942.html,2190,2022-05-01 10:04,1,0
7478161719,"1 Bed with w/d in unit, hw floors, and ss appliance",https://chicago.craigslist.org/chc/apa/d/chicago-bed-with-d-in-unit-hw-floors/7478161719.html,2200,2022-05-01 10:04,1,0
7478161688,Large 2 bedroom in Rogers Park near the lake!!!,https://chicago.craigslist.org/chc/apa/d/chicago-large-bedroom-in-rogers-park/7478161688.html,1325,2022-05-01 10:04,2,0
7478161487,Wonderfully Rehabbed Edgewater Studio! New Kitchen!,https://chicago.craigslist.org/chc/apa/d/chicago-wonderfully-rehabbed-edgewater/7478161487.html,1300,2022-05-01 10:03,0,0
7478161463,"Gorgeous 1 bed w w/d in unit, gym, pool and sundeck w bbq grills",https://chicago.craigslist.org/chc/apa/d/chicago-gorgeous-bed-w-in-unit-gym-pool/7478161463.html,2100,2022-05-01 10:03,1,0
7478161243,Modern Edgewater One bedroom. Most Small pets ok!,https://chicago.craigslist.org/chc/apa/d/chicago-modern-edgewater-one-bedroom/7478161243.html,1395,2022-05-01 10:03,1,0
7478161022,Large Studio SUPER CLOSE to the lake!!!,https://chicago.craigslist.org/chc/apa/d/chicago-large-studio-super-close-to-the/7478161022.html,950,2022-05-01 10:02,0,0
7478160995,"2 bed in river north with w/d in unit, private balcony, & ss appli",https://chicago.craigslist.org/chc/apa/d/chicago-bed-in-river-north-with-d-in/7478160995.html,3600,2022-05-01 10:02,2,0
7478160786,Wonderfully Rehabbed Edgewater One bedroom! New Kitchen!,https://chicago.craigslist.org/chc/apa/d/chicago-wonderfully-rehabbed-edgewater/7478160786.html,1750,2022-05-01 10:02,1,0
7478160417,"Amazing 2 Bed-wd in unit, ss appliances, pet friendly",https://chicago.craigslist.org/chc/apa/d/chicago-amazing-bed-wd-in-unit-ss/7478160417.html,3300,2022-05-01 10:01,2,0
7478160042,"awesome 2 bed in west loop with in unit w/d, hw floors, ss appliances",https://chicago.craigslist.org/chc/apa/d/chicago-awesome-bed-in-west-loop-with/7478160042.html,3200,2022-05-01 10:00,2,0
7478159769,Amazing 1 bed in River North with w/d in unit and walk in closets,https://chicago.craigslist.org/chc/apa/d/chicago-amazing-bed-in-river-north-with/7478159769.html,2400,2022-05-01 09:59,1,0
7478159490,"Beautiful 2 bedroom in Old Town with private balcony, w/d, hw floors",https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-bedroom-in-old-town/7478159490.html,3600,2022-05-01 09:59,2,0
7478159183,"Terrific unit with washer/dryer, hw floors, and onsite fitness center",https://chicago.craigslist.org/chc/apa/d/chicago-terrific-unit-with-washer-dryer/7478159183.html,1920,2022-05-01 09:58,1,0
7478158926,"Gorgeous unit w w/d in unit, gym, pool and sundeck w bbq grills",https://chicago.craigslist.org/chc/apa/d/chicago-gorgeous-unit-w-in-unit-gym/7478158926.html,1900,2022-05-01 09:57,1,0
7478158635,"Beautiful unit in west loop with in unit w/d, hw floors, ss appliances",https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-unit-in-west-loop/7478158635.html,1900,2022-05-01 09:56,1,0
7478154982,For Rent,https://chicago.craigslist.org/chc/apa/d/chicago-for-rent/7478154982.html,1500,2022-05-01 09:47,3,1800
7478145371,For Rent,https://chicago.craigslist.org/chc/apa/d/chicago-for-rent/7478145371.html,1500,2022-05-01 09:20,3,1800
7478144482,EVANSTON SMAILL 1 BED 1 BATH SECTION 8 VOUCHER UNIT AVAL,https://chicago.craigslist.org/nch/apa/d/evanston-evanston-smaill-bed-bath/7478144482.html,1600,2022-05-01 09:18,1,500
7478142746,Spectacular Pristine Apartment - Central Heat and A/C Included!,https://chicago.craigslist.org/chc/apa/d/chicago-spectacular-pristine-apartment/7478142746.html,1450,2022-05-01 09:12,1,825
7478137217,"Astounding Studio, 1 Bath in Lincoln Park, Available: 5/1/2022",https://chicago.craigslist.org/chc/apa/d/chicago-astounding-studio-bath-in/7478137217.html,1375,2022-05-01 08:56,0,300
7478130025,"Drop Dead Gorgeous 2 Bedroom, 1 Bath in Albany Park, Available: 6/1/2022",https://chicago.craigslist.org/chc/apa/d/chicago-drop-dead-gorgeous-bedroom-bath/7478130025.html,1900,2022-05-01 08:33,2,1350
7478128610,"Irving Park ,1 bedroom",https://chicago.craigslist.org/chc/apa/d/chicago-irving-park-bedroom/7478128610.html,1050,2022-05-01 08:29,1,0
7478124427,"1br near I-55, Orange Train Line, Mariano's & Downtown",https://chicago.craigslist.org/chc/apa/d/chicago-1br-near-55-orange-train-line/7478124427.html,1000,2022-05-01 08:13,1,500
7478111908,"Move In June 1st, Two Bedroom",https://chicago.craigslist.org/nch/apa/d/move-in-june-1st-two-bedroom/7478111908.html,1700,2022-05-01 07:20,2,1350
